"id","nombre","barrio","latitud","longitud","tipo_propiedad","capacidad","banos","bano_compartido","dormitorios","camas","precio","noches_minimas","noches_maximas","disponible","disponibilidad_30","disponibilidad_60","disponibilidad_90","disponibilidad_365","n_reviews","n_reviews_u30d","puntuacion_reviews_general","puntuacion_reviews_precision","puntuacion_reviews_limpieza","puntuacion_reviews_checkin","puntuacion_reviews_comunicacion","puntuacion_reviews_localizacion","puntuacion_reviews_valor"
5112669,"Rental unit in Barcelona · 1 bedroom · 2 beds · 2 baths","Eixample",41,2,"Private room",2,2,FALSE,2,2,30,1,1125,TRUE,0,0,0,0,0,0,4,4,4,4,4,4,4
4922877,"Rental unit in Barcelona · ★4.64 · 2 bedrooms · 2 beds · 1 bath","Eixample",41,2,"Entire home/apt",4,1,FALSE,2,2,96,4,1125,TRUE,4,8,16,204,198,1,4,4,4,4,4,4,4
4926975,"Rental unit in Barcelona · ★3.60 · 4 bedrooms · 7 beds · 2 baths","Les Corts",41,2,"Entire home/apt",8,2,FALSE,4,7,220,2,1125,TRUE,29,50,75,92,10,0,3,3,4,3,4,4,3
4927253,"Rental unit in Barcelona · ★4.25 · 2 bedrooms · 4 beds · 2 baths","Sarrià-Sant Gervasi",41,2,"Entire home/apt",6,2,FALSE,2,4,230,2,1125,TRUE,4,34,64,325,12,1,4,3,4,4,4,4,4
4529983,"Rental unit in Barcelona · ★4.69 · 2 bedrooms · 3 beds · 1 bath","Sants-Montjuïc",41,2,"Entire home/apt",4,1,FALSE,2,3,185,3,60,TRUE,3,9,32,293,133,1,4,4,4,4,4,4,4
4928883,"Rental unit in Barcelona · ★4.06 · 4 bedrooms · 7 beds · 2 baths","Les Corts",41,2,"Entire home/apt",8,2,FALSE,4,7,220,2,1125,TRUE,0,0,5,22,18,2,4,4,3,4,4,4,4
5121791,"Rental unit in Barcelona · 1 bedroom · 1 bed · Half-bath","Gràcia",41,2,"Private room",1,0,FALSE,2,1,75,1,1125,FALSE,0,0,0,0,0,0,4,4,4,4,4,4,4
5124937,"Rental unit in Barcelona · ★4.90 · 3 bedrooms · 4 beds · 1 bath","Eixample",41,2,"Entire home/apt",5,1,FALSE,3,4,170,3,1125,TRUE,0,1,2,97,292,6,4,4,4,4,4,4,4
4539828,"Rental unit in Barcelona · ★4.71 · 2 bedrooms · 2 beds · 1 bath","Eixample",41,2,"Entire home/apt",4,1,FALSE,2,2,188,1,30,TRUE,2,3,25,249,238,1,4,4,4,4,4,4,4
4542502,"Home in Barcelona · ★4.42 · 6 bedrooms · 11 beds · 3 baths","Sants-Montjuïc",41,2,"Entire home/apt",10,3,FALSE,6,11,384,3,1124,TRUE,12,27,38,254,133,0,4,4,4,4,4,3,4
4928926,"Rental unit in Barcelona · ★4.10 · 4 bedrooms · 7 beds · 2 baths","Les Corts",41,2,"Entire home/apt",8,2,FALSE,4,7,220,2,1125,TRUE,28,46,76,93,31,0,4,4,4,4,4,4,4
